Tree ID,Tree Type,Genus,Species,Common Name,Canopy Spread,Height,Latitude,Longitude
12894,CONIFEROUS,Picea,pungens,Blue Spruce,4.0,5.0,40.0090311,-105.2735419
12895,CONIFEROUS,Picea,pungens,Blue Spruce,12.0,35.0,40.00908963,-105.2735682
12941,DECIDUOUS,Prunus,None,Flowering fruit trees,20.0,50.0,40.01009175,-105.2748263
12974,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,35.0,40.0097673,-105.2738605
13231,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,35.0,40.01003779,-105.276302
13232,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,35.0,40.01003502,-105.276367
12990,DECIDUOUS,Cercis,canadensis,Redbud,25.0,38.0,40.0072981,-105.2725014
13000,DECIDUOUS,Rhamnus,cathartica,Buckthorn,8.0,12.0,40.00712197,-105.2725404
13002,DECIDUOUS,Cercis,canadensis,Redbud,8.0,12.0,40.00742048,-105.2725068
13005,DECIDUOUS,Cercis,canadensis,Redbud,12.0,24.0,40.00744523,-105.2726368
13007,DECIDUOUS,Aesculus,hippocastanum,Horse Chestnut,35.0,56.0,40.00748732,-105.2729176
13014,DECIDUOUS,Catalpa,speciosa,Western Catalpa,10.0,15.0,40.00950329,-105.2736938
13032,CONIFEROUS,Larix,None,Larch,4.0,6.0,40.00911159,-105.2742506
13430,DECIDUOUS,Fagus,None,Beech,16.0,30.0,40.0084647,-105.2744234
13431,DECIDUOUS,Ulmus,americana,American Elm,40.0,65.0,40.00852898,-105.2744292
13442,DECIDUOUS,Gymnocladus,dioicus,Kentucky Coffeetree,12.0,50.0,40.00864172,-105.2748415
13443,DECIDUOUS,Salix,None,Willow,40.0,60.0,40.00866703,-105.2747429
13447,DECIDUOUS,Carya,None,Hickory,18.0,50.0,40.00881788,-105.2747494
13450,DECIDUOUS,Malus,None,Apple,20.0,30.0,40.00894178,-105.2746752
13463,CONIFEROUS,Larix,None,European Larch,16.0,35.0,40.00856495,-105.2745288
13464,CONIFEROUS,Larix,None,Larch,16.0,35.0,40.00853857,-105.2745686
13477,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,20.0,45.0,40.00851879,-105.2747329
13796,DECIDUOUS,Salix,None,Willow,35.0,65.0,40.01035261,-105.2734909
13813,DECIDUOUS,Crataegus,mollis,Downy Hawthorn,10.0,15.0,40.01011814,-105.2732031
13816,DECIDUOUS,Crataegus,mollis,Downy Hawthorn,3.0,10.0,40.01021496,-105.273187
13817,DECIDUOUS,Crataegus,mollis,Downy Hawthorn,3.0,10.0,40.01020145,-105.2731939
10149,DECIDUOUS,Catalpa,speciosa,Western Catalpa,7.0,14.0,40.00905908,-105.272804
